id   |Id_AutorGS  |Nombre_Autor                              |Cargo                                                                                                                       |Dominio  |Intereses                                                                                                               |Link                                                        |Hindex_Todo|Hindex_Desde|Citas_Todo|Citas_Desde|i10_Index_Todo|i10_Index_Desde|Id_InstitucionGS   |
31665|_Leot4sAAAAJ|Manuel Antonio Casanova Pinto             |Universidad de Chile                                                                                                        |uchile   |Soil and water conservation                                                                                             |https://scholar.google.com/citations?hl=en&user=_Leot4sAAAAJ|         27|          15|      3991|       1250|            30|             59|9232372474901007921|
31798|SyVcq3MAAAAJ|Lee Meisel                                |INTA, Universidad de Chile                                                                                                  |uchile   |Plant molecular geneticsbiotechnologygenomics                                                                           |https://scholar.google.com/citations?hl=en&user=SyVcq3MAAAAJ|         21|          16|      4005|       1874|            22|             29|9232372474901007921|
31850|A2WD03UAAAAJ|Mauro Parra-Cordero                       |Profesor, Universidad de Chile                                                                                              |hcuch    |Fetal MedicineMaternal Fetal MedicineFetal TherapyObstetrics UltrasoundObstetrics and Gynecology                        |https://scholar.google.com/citations?hl=en&user=A2WD03UAAAAJ|         28|          22|      3996|       1717|            31|             40|9232372474901007921|
32040|d0Dk7hMAAAAJ|Maria Elena Santolaya                     |Facultad de Medicina, Universidad de Chile                                                                                  |uchile   |Infectologia                                                                                                            |https://scholar.google.com/citations?hl=en&user=d0Dk7hMAAAAJ|         30|          23|      4006|       1911|            46|             58|9232372474901007921|
32203|oX4KpNQAAAAJ|Juan Diego Maya                           |Universidad de chile                                                                                                        |uchile   |                                                                                                                        |https://scholar.google.com/citations?hl=en&user=oX4KpNQAAAAJ|         36|          26|      3947|       1962|            74|             85|9232372474901007921|
32351|ACrUb6MAAAAJ|Roberto Lemus-Mondaca                     |Universidad de Chile                                                                                                        |uchile   |Food Science and Technology                                                                                             |https://scholar.google.com/citations?hl=en&user=ACrUb6MAAAAJ|         32|          26|      3928|       2716|            54|             57|9232372474901007921|
32468|ii7ImRwAAAAJ|juan alejandro valdivia                   |Departamento de Fisica, Facultad de Ciencias, Universidad de Chile                                                          |         |Dynamics of Complex systemsAstrophysical PlasmasNanoscience                                                             |https://scholar.google.com/citations?hl=en&user=ii7ImRwAAAAJ|         33|          21|      3855|       1569|            51|             93|9232372474901007921|
32718|jQoTB-gAAAAJ|Victor H. Marin                           |Universidad de Chile                                                                                                        |uchile   |ecología de ecosistemasmoderación numérica                                                                              |https://scholar.google.com/citations?hl=en&user=jQoTB-gAAAAJ|         32|          17|      3843|       1292|            28|             66|9232372474901007921|
32920|dmj_gE4AAAAJ|José A. Pino                              |Professor of Computer Science, Universidad de Chile                                                                         |uchile   |Human-Computer InteractionProcess ModelingExpert Systems                                                                |https://scholar.google.com/citations?hl=en&user=dmj_gE4AAAAJ|         33|          15|      3831|       1097|            30|            104|9232372474901007921|
33211|aUtukf4AAAAJ|Sergio f. Ochoa                           |Computer Science Department, University of Chile                                                                            |uchile   |Mobile and Ubiquitous ComputingSocio-technical SystemsSoftware Engineering                                              |https://scholar.google.com/citations?hl=en&user=aUtukf4AAAAJ|         31|          21|      3810|       1747|            47|            102|9232372474901007921|
