idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,Fairy shrimp (Branchiopoda: Anostraca) of Chile camarón duende (Branchiopoda: Anostraca) en Chile,"DC Rogers, P De los Ríos, O Zúñiga","Journal of Crustacean Biology 28 (3), 543-550, 2008",30,2008
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,"Amphipoda and decapoda as potential bioindicators of water quality in an urban stream (38 S, Temuco, Chile)","A Contreras, F Correa-Araneda, P De Los Ríos","Crustaceana 83 (8), 897-902, 2010",29,2010
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,Zoogeography of Chilean inland water crustaceans,"P De los Ríos-Escalante, J Meruane, MC Morales, E Rudolph, ...","Latin American Journal of Aquatic Research 41 (5), 846-853, 2013",24,2013
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,"Efectos de las disponibilidades de recursos energéticos, estructurales y de protección sobre la distribución y abundancia de copépodos y cladóceros zooplanctónicos lacustres …",P De los Ríos,"Austral University of Chile, Science Faculty, Valdivia, Chile (In Spanish …, 2003",23,2003
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,"Ecological role of benthic crustaceans in Chilean North Patagonian lakes and rivers (Araucania region, 39 S)","F Encina, R Vega, G Lara, P De Los Ríos-Escalante","Crustaceana 90 (4), 437-447, 2017",21,2017
jajFVW8AAAAJ,uct,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",,,A checklist of Branchiopoda (Anostraca and Cladocera) of Chilean continental waters,"PDELOSR ESCALANTE, AA Kotov","Zootaxa 4027 (3), 366-388, 2015",21,2015
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,"Three-dimensional black holes, gravitational solitons, kinks and wormholes for BHT massive gravity","J Oliva, D Tempo, R Troncoso","Journal of High Energy Physics 2009 (07), 011, 2009",168,2009
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Soft Heisenberg hair on black holes in three dimensions,"H Afshar, S Detournay, D Grumiller, W Merbis, A Perez, D Tempo, ...","Physical Review D 93 (10), 101503, 2016",160,2016
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Fermion localization on thick branes,"A Melfo, N Pantoja, JD Tempo","Physical Review D 73 (4), 044033, 2006",139,2006
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Generalized black holes in three-dimensional spacetime,"C Bunster, M Henneaux, A Pérez, D Tempo, R Troncoso","Journal of High Energy Physics 2014 (5), 1-55, 2014",120,2014
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Soft hairy horizons in three spacetime dimensions,"H Afshar, D Grumiller, W Merbis, A Perez, D Tempo, R Troncoso","Physical Review D 95 (10), 106005, 2017",87,2017
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,"Higher spin gravity in 3D: black holes, global charges and thermodynamics","A Pérez, D Tempo, R Troncoso","Physics Letters B 726 (1-3), 444-449, 2013",86,2013
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Boundary conditions for General Relativity on AdS3 and the KdV hierarchy,"A Pérez, D Tempo, R Troncoso","Journal of High Energy Physics 2016 (6), 1-18, 2016",84,2016
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Chemical potentials in three-dimensional higher spin anti-de Sitter gravity,"M Henneaux, A Pérez, D Tempo, R Troncoso","Journal of High Energy Physics 2013 (12), 1-12, 2013",82,2013
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,"Field theories with anisotropic scaling in 2D, solitons and the microscopic entropy of asymptotically Lifshitz black holes","HA Gonzalez, D Tempo, R Troncoso","Journal of High Energy Physics 2011 (11), 1-15, 2011",81,2011
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Kerr–Schild ansatz in Einstein–Gauss–Bonnet gravity: an exact vacuum solution in five dimensions,"A Anabalón, N Deruelle, Y Morisawa, J Oliva, M Sasaki, D Tempo, ...","Classical and quantum gravity 26 (6), 065002, 2009",81,2009
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Microscopic entropy of the three-dimensional rotating black hole of Bergshoeff-Hohm-Townsend massive gravity,"G Giribet, J Oliva, D Tempo, R Troncoso","Physical Review D 80 (12), 124046, 2009",71,2009
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Higher spin black hole entropy in three dimensions,"A Pérez, D Tempo, R Troncoso","Journal of High Energy Physics 2013 (4), 1-10, 2013",64,2013
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Higher spin black holes with soft hair,"D Grumiller, A Pérez, S Prohazka, D Tempo, R Troncoso","Journal of High Energy Physics 2016 (10), 1-25, 2016",55,2016
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Higher spin extension of cosmological spacetimes in 3D: asymptotically flat behaviour with chemical potentials and thermodynamics,"J Matulich, A Pérez, D Tempo, R Troncoso","Journal of High Energy Physics 2015 (5), 1-27, 2015",49,2015
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Asymptotically locally flat spacetimes and dynamical nonspherically-symmetric black holes in three dimensions,"G Barnich, C Troessaert, D Tempo, R Troncoso","Physical Review D 93 (8), 084001, 2016",32,2016
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Hypersymmetry bounds and three-dimensional higher-spin black holes,"M Henneaux, A Pérez, D Tempo, R Troncoso","Journal of High Energy Physics 2015 (8), 1-25, 2015",30,2015
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Static spherically symmetric solutions for conformal gravity in three dimensions,"J Oliva, D Tempo, R Troncoso","International Journal of Modern Physics A 24 (08n09), 1588-1592, 2009",29,2009
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Integrable systems with BMS3 Poisson structure and the dynamics of locally flat spacetimes,"O Fuentealba, J Matulich, A Pérez, M Pino, P Rodríguez, D Tempo, ...","Journal of High Energy Physics 2018 (1), 1-38, 2018",28,2018
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,Remarks on the Myers-Perry and Einstein–Gauss–Bonnet rotating solutions,"A Anabalón, N Deruelle, D Tempo, R Troncoso","International Journal of Modern Physics D 20 (05), 639-647, 2011",28,2011
