titulo,autores,revista
"Reconstruction of palaeoprecipitation based on pollen transfer functions–the record of the last 16 ka from Laguna Potrok Aike, southern Patagonia","F Schäbitz, M Wille, JP Francois, T Haberzettl, F Quintana, C Mayr, ...","Quaternary Science Reviews 71, 175-190, 2013"
"Holocene changes in the position and intensity of the southern westerly wind belt, Nat. Geosci., 3, 695–699","F Lamy, R Kilian, HW Arz, JP Francois, J Kaiser, M Prange, T Steinke",
"Earthquakes and coastal archaeology: assessing shoreline shifts on the southernmost Pacific coast (Chonos Archipelago 43 50′–46 50′ S, Chile, South America)","O Reyes, C Méndez, M San Román, JP Francois","Quaternary International 463, 161-175, 2018"
A pollen–climate calibration from western Patagonia for palaeoclimatic reconstructions,"V Montade, O Peyron, C Favier, JP Francois, SG Haberle","Journal of Quaternary Science 34 (1), 76-86, 2019"
Past climate variability in South America and surrounding regions,"CM Moy, PI Moreno, RB Dunbar, MR Kaplan, JP Francois, R Villalba, ...","Climate Change in Southern South America during the Last Two Millennia 353, 393, 2009"
Modulation of fire regimes by vegetation and site type in southwestern Patagonia since 13 ka,"PI Moreno, I Vilanova, RP Villa-Martínez, JP Francois","Frontiers in Ecology and Evolution 6, 34, 2018"
"Ser humano y medio ambiente durante la transición Pleistoceno Holoceno en las cabeceras del río Cisnes (44 S, Aisén Norte)","C Méndez, O Reyes, A Maldonado, JP François","Arqueología de Patagonia: una mirada desde el último confín (Salemme, M, 75-83, 2009"
Eslabones de una cadena rota: el caso del bosque relicto de Santa Inés,JP Francois,"Historia Natural del Parque Nacional Bosque de Fray Jorge, 205-218, 2004"
"Holocene changes in the position and intensity of the southern westerly wind belt, Nat","F Lamy, R Kilian, HW Arz, JP Francois, J Kaiser, M Prange, T Steinke","Geosci 3 (10), 695-699, 2010"
Chronological and geoarchaeological investigations on an anthropogenic shell accumulation layer in the Longotoma dune field (Central Chile),"SM May, A Zander, JP Francois, D Kelletat, S Pötsch, G Rixhon, ...","Quaternary International 367, 32-41, 2015"
"Distribution of greenhouse gases in hyper-arid and arid areas of northern Chile and the contribution of the high altitude wetland microbiome (Salar de Huasco, Chile)","V Molina, Y Eissler, M Cornejo, PE Galand, C Dorador, M Hengst, ...","Antonie Van Leeuwenhoek 111 (8), 1421-1432, 2018"
Postglacial paleoenvironmental history of the Southern Patagonian Fjords at 53° S,JP Francois,"Universität zu Köln, 2014"
"Geobacter: the microbe electric's physiology, ecology, and practical applications","DR Lovley, T Ueki, T Zhang, NS Malvankar, PM Shrestha, KA Flanagan, ...","Advances in microbial physiology 59, 1-100, 2011"
Índices de fitotoxicidad en residuos orgánicos durante el compostaje,"MT Varnero, C Rojas, R Orellana","Revista de la ciencia del suelo y nutrición vegetal 7 (1), 28-37, 2007"
Living at the frontiers of life: extremophiles in Chile and their potential for bioremediation,"R Orellana, C Macaya, G Bravo, F Dorochesi, A Cumsille, R Valencia, ...","Frontiers in microbiology 9, 2309, 2018"
Characterization and transcription of arsenic respiration and resistance genes during in situ uranium bioremediation,"L Giloteaux, DE Holmes, KH Williams, KC Wrighton, MJ Wilkins, ...","The ISME journal 7 (2), 370-383, 2013"
U(VI) Reduction by Diverse Outer Surface c-Type Cytochromes of Geobacter sulfurreducens,"R Orellana, JJ Leavitt, LR Comolli, R Csencsits, N Janot, KA Flanagan, ...","Applied and environmental microbiology 79 (20), 6369-6374, 2013"
Proteome of Geobacter sulfurreducens in the presence of U (VI),"R Orellana, KK Hixson, S Murphy, T Mester, ML Sharma, MS Lipton, ...","Microbiology 160 (12), 2607-2617, 2014"
Methane production from protozoan endosymbionts following stimulation of microbial metabolism within subsurface sediments,"DE Holmes, L Giloteaux, R Orellana, KH Williams, MJ Robbins, ...","Frontiers in microbiology 5, 366, 2014"
