titulo,autores,revista
La formación inicial de los profesores de educación física en Chile y la actividad expresivo motriz,AM Reyno Freundt,
Percepción del rol docente en Educación Física: Análisis e implicancias formativas,"BU Tobar, AMR Freundt","Universidad, innovación e investigación ante el horizonte 2030, 404, 2021"
Percepción del rol docente en educación física: análisis e implicancias formativas,"AMR Freundt, BU Tobar","Innovaciones metodológicas con TIC en educación, 4157-4176, 2021"
"Barreras percibidas por alumnos en situación de discapacidad, en relación a la oferta de actividades universitarias","AM Reyno-Freundt, RB Leal-Cáceres, LA Morales-Maureira, ...","RECIE. Revista Caribeña de Investigación Educativa 3 (2), 73-83, 2019"
Estilos de enseñanza preferidos por los profesores enseñanza media en Educación Física.,"MA Báez Bezama, GC Durán Escudero, SC González Peña, ...",
Las actividades de expresión motriz en la formación inicial de los profesores de educación física.,"A Reyno Freundt, MÁ Delgado",
"El espacio geográfico, una construcción escolar. Un estudio de caso: los alumnos del valle del Limarí","FA Palacios, XM Souto, YH Núñez","Scripta Nova. Revista Electrónica de Geografía y Ciencias Sociales 19, 2015"
Propuesta de un modelo de Integración curricular de las Tics,Y Herrera,"Cibersociedad. Universidad Tecnológica Metropolitana. Consultado el 6, 2008"
Estrategias docentes para el desarrollo de habilidades de pensamiento espacial en República Dominicana y Chile,"F Araya, Y Herrera","Revista geográfica de Valparaíso 47, 27-41, 2013"
Relación funcional entre procrastinación académica y compromiso en estudiantes de educación superior: una propuesta de análisis,"J Aspée, J González, Y Herrera","Perspectiva Educacional 60 (1), 4-22, 2021"
Redes de Dependencia entre Estrategias de Aprendizaje y Perfiles de Estudiantes de Desempeño Académico Medio y Alto en el Contexto de la Educación Superior en Chile,"YA Herrera-Núñez, JA González-Campos","Formación universitaria 12 (4), 27-38, 2019"
Integración de las tecnologías de la información y la comunicación para la enseñanza de la lengua,Y Herrera,"Folios, 13-26, 2007"
Calidad de la escritura académica: comparación de los efectos de comentarios de pares de escritura y expertos,Y Herrera-Núñez,"Revista Lusófona de Educaçao 49 (49), 2020"
"Reconstrucción narrativa de identidades agentivas de mujeres migrantes afrodescendientes en Coquimbo, Chile",YH Núñez,"OXÍMORA Revista Internacional de Ética y Política, 173-188, 2018"
"The geographical space, a school construction. A case study: the pupils of the of the Limari Valley (Chile)","F Araya Palacios, X Manuel Souto, Y Herrera Nunez","Scripta Nova-Revista Electronica De Geografia Y Ciencias Sociales 19 (503), 1-34, 2015"
Aportes de la investigación en didáctica de la geografía a la formación docente: los casos de República Dominicana y Chile,"F Araya, Y Herrera","Didáctica de la Geografía. Prácticas escolares y formación de profesores …, 2014"
Estrategias de lectura y rendimiento académico en la transición a la educación superior,"Y Herrera-Núñez, B Dapelo","Praxis & Saber 13 (32), 1-18, 2022"
Trayectorias lectoras discontinuas: prácticas letradas durante la transición a la universidad,"Y Herrera, B Dapelo","Praxis educativa 24 (2), 101-116, 2020"
La Construcción Narrativa de la Identidad de las Mujeres Desplazadas: Una Aproximación desde el Enfoque Dialógico del Posicionamiento Interaccional,Y Herrera-Nuñez,"Discurso, cultura, emoción. Prácticas discursivas interculturales …, 2018"
Recursos pragmático-retóricos de las narrativas de queja para la construcción social de la identidad de mujeres desplazadas por la violencia política en Colombia,YH Núñez,"Textos en Proceso 1 (2), 237-258, 2015"
Femicidio en el diario regional “La Estrella de Valparaíso”: más allá de la línea editorial,"REP Alcayaga Toro, YA Herrera Núñez, JM Burgos Bravo","Derechos humanos emergentes y periodismo/José Manuel Gómez y Méndez…[et al …, 2015"
"Correlatos lingüístico-discursivos de las narraciones orales referidas a los procesos de construcción, mantención y cambios identitarios de una muestra de mujeres desplazadas a …",YA Herrera Núñez,
Experiencias curriculares en la educación a distancia para el desarrollo de habilidades cognitivas,Y Herrera,"V Congreso de Tecnología en Educación y Educación en Tecnología, 2010"
Integration of Information and Communication Technologies for Language Teaching,Y Herrera,"Folios, 13-26, 2007"
Integración de las tecnologías de,Y Herrera,"Folios: revista de la Facultad de Humanidades, Universidad Pedagógica …, 2006"
Los Perros Del Paraíso: Una Aproximación A Las Estrategias De Veridicción Y Reformulación De La Identidad Histórica Latinoamericana.,YAH Núñez,"Logos: Revista de Lingüística, Filosofía y Literatura, 115-130, 1998"
"Interacción, emoción y cognición: Una aproximación integrada a la comprensión del comportamiento humano","RC Bächler, OG Poblete","Anales de Psicología/Annals of Psychology 28 (2), 490-504, 2012"
¿ De la frustración a la alegría o de la alegría a la frustración? Significados sobre inclusión educativa construidos por docentes a partir de su experiencia emocional,"O Poblete-Christie, M López, L Muñoz","Psykhe (Santiago) 28 (1), 1-14, 2019"
Interacción y emoción: una propuesta integradora,"O Poblete, R Bachler","Revista Argentina de Clínica Psicológica 25 (1), 57-66, 2016"
Evaluación de la formación emocional inicial docente en Chile,"R Bächler Silva, S Meza Fernández, L Mendoza, OG Poblete Christie","Revista de estudios y experiencias en educación 19 (39), 75-106, 2020"
Francisco Varela: una revisión de algunos de sus aportes fundamentales a través de la mirada de David Rudrauf,"R Bachler, O Poblete, X Poblete","Synergies Chili, 121-140, 2012"
From frustration to joy or from joy to frustration? Meanings about educational inclusion constructed by teachers based on their emotional experience¿ De la Frustración a la …,"O Poblete-Christie, M López, L Muñoz","Pontificia Universidad Catolica de Chile, 2019"
El trasfondo humano de las organizaciones. Mapa comprensivo para su intervención,"R Bachler, O Poblete","Administración y Organizaciones 11 (22), 39-53, 2009"
Orientación de los significados emocionales de profesoras durante su trabajo en aula,O Poblete-Christie,"Revista de Sociología 36 (1), 41-56, 2021"
Experiencia emocional en aula en profesoras de la Región Metropolitana,O Poblete Christie,"Universidad de Chile, 2019"
Meditación y proceso de enseñanza aprendizaje: Una experiencia educativa con niñas y niños sordos,"O Poblete Christie, X Vidal Mella, V Gallardo Peña","Universidad de Granada, 2016"
"Interaction, emotion and cognition, an integrative approach to the understanding of human behavior","R Baechler, O Poblete","ANALES DE PSICOLOGIA 28 (2), 490-504, 2012"
"Interaction, emotion and cognition, an integrative approach to the understanding of human behavior [Interacción, emoción y cognición: Una aproximación integrada a la …","R Bächler, O Poblete","Universidad de Murcia Servicio de Publicaciones, 2012"
Feedback by automatic assessment systems used in mathematics homework in the engineering field,"J Gaona, M Reguant, I Valdivia, M Vásquez, T Sancho‐Vinuesa","Computer Applications in Engineering Education, 2018"
Panorama sobre los sistemas de evaluación automática en línea en matemáticas,J Gaona,"Paradigma 40 (Extra 2), 53-80, 2020"
On harmonic Bloch-type mappings,"I Efraimidis, J Gaona, R Hernández, O Venegas","Complex Variables and Elliptic Equations 62 (8), 1081-1092, 2017"
Elaboración de un sistema de evaluación en línea como proceso de formación de profesores de matemáticas,J Gaona,"Université Sorbonne Paris Cité, 2018"
"Transitions Toward Digital Resources: Change, Invariance, and Orchestration","P Drijvers, V Gitirana, J Monaghan, S Okumus, S Besnier, C Pfeiffer, ...","The'Resource'Approach to Mathematics Education, 389-444, 2019"
Instructors' decision making when designing resources: the case of online assessments,J Gaona,"Proceedings Re(s)sources 2018. International Conference, 2018, 279-282, 2018"
Mathematical work in the digital age: Variety of tools and the role of geneses,"J Flores, J Gaona, P Richard","Mathematical work in educational context-the Mathematical Working Space …, 2022"
Argumentation of Prospective Mathematics Teachers in Fraction Tasks Mediated by an Online Assessment System With Automatic Feedback,"J Gaona, R Menares","Eurasia Journal of Mathematics, Science and Technology Education 17 (12), em2055, 2021"
"Integrar tecnología en la enseñanza-aprendizaje de las matemáticas, factores claves",JG Paredes,"REGIES: Revista de Gestión de la innovación 3 (1), 75-93, 2018"
Análisis de la concepción de un banco de problemas en línea aleatorios para la evaluación en matemáticas,J Gaona,"Actas Quinto Simposio Internacional ETM, 369-383, 2016"
Argumentación de futuros profesores de matemáticas en tareas sobre fracciones mediadas por un sistema de evaluación en línea con feedback automático,"J Gaona, R Menares","arXiv preprint arXiv:2108.12496, 2021"
Un ejemplo de nivelación en matemáticas: la evaluación dinámica como motor de aprendizaje incorporando wiris en moodle.,"J Gaona, C Hardy","Congreso Iberoamericano de Ciencia, Tecnología, Innovación y Educación, OEI …, 2014"
Mathematical Work in the Digital Age. Variety of Tools and the Role of Geneses,"JV Flores Salazar, J Gaona, PR Richard","Mathematical Work in Educational Context, 165-209, 2022"
Aprendizaje de los números complejos usando diferentes sistemas de cálculo simbólico y un sistema de evaluación en línea en formación inicial de profesores,"J Gaona, S López, E Montoya Delgadillo","arXiv e-prints, arXiv: 2201.00407, 2022"
Influence of a function's coefficients and feedback of the mathematical work when reading a graph in an online assessment system,"J Gaona, R Hernández, F Guevara, V Bravo","arXiv preprint arXiv:2107.11448, 2021"
Trabajo matemático instrumentado¿ qué matemática trabajar cuando hay programas que resuelven tareas mediante una foto?,J Gaona,"Simposio ETM 6.1 sobre el Trabajo Matemático, 2021"
"I MPLEMENTACI ÓN DE UN SI STEMA DE EVALUACI ÓN FORMATI VA EN LÍ NEA, EN ASI GNATURAS DE MATEMÁTI CA DE LA UNI VERSI DAD DE ATACAMA.","J Gaona, WC Ll, F Guevara, R Guerra",
Búsqueda bibliográfica sistemática en educación (matemática),J Gaona,"SocArXiv, 2022"
Aprendizaje de los n\'umeros complejos usando diferentes sistemas de c\'alculo simb\'olico y un sistema de evaluaci\'on en l\'inea en formaci\'on inicial de profesores,"J Gaona, S López, EM Delgadillo","arXiv preprint arXiv:2201.00407, 2022"
Argumentaci\'on de futuros profesores de matem\'aticas en tareas sobre fracciones mediadas por un sistema de evaluaci\'on en l\'inea con feedback autom\'atico,"J Gaona, R Menares","arXiv preprint arXiv:2108.12496, 2021"
Uso de sustancias psicoactivas y calidad de vida relacionada con la salud en adolescentes escolarizados,"F Vilugrón Aravena, CA Hidalgo-Rasmussen, T Molina, ME Gras Pérez, ...","Revista médica de Chile 145 (12), 1525-1534, 2017"
"Variaciones en el estado nutricional, presión arterial y en los patrones dietéticos de jóvenes posterior al ingreso a la educación superior","F Vilugrón, N Fernández, C Ramírez, C Fuentes","Revista chilena de nutrición 48 (2), 203-212, 2021"
"Risk eating behaviors and tobacco, alcohol and marijuana consumption by gender among chilean university students","C Hidalgo-Rasmussen, K Franco, FJ Díaz Reséndiz, MJ Rojas, F Vilugrón","Revista mexicana de trastornos alimentarios 6 (1), 30-37, 2015"
Calidad de vida relacionada con la salud y consumo de alcohol en personas sin hogar,"FPV Aravena, RC Araya, JC Ulloa, SB Barrientos","Revista Cubana de Salud Pública 44 (4), 84-96, 2018"
Psychoactive substances use and health-related quality of life among school age adolescents,"F Vilugron Aravena, C Alejandro Hidalgo-Rasmussen, G Molina, ...","REVISTA MEDICA DE CHILE 145 (12), 1525-1534, 2017"
Consumo alimentario y cumplimiento de recomendaciones dietéticas en estudiantes que ingresan a la universidad,"F Vilugrón, NF Elgueta, CR Espinosa, JD Flores, CF Donoso","Nutrición Clínica y Dietética Hospitalaria 40 (2), 165-172, 2020"
Psychoactive substances use and health-related quality of life among school age adolescents,"CA Hidalgo-Rasmussen, GT Molina, GP ME, S Font-Mayolas","Revista Medica De Chile 145 (12), 1525-1534, 2017"
"Comportamientos alimentarios de riesgo y consumo de tabaco, alcohol y marihuana según género en estudiantes universitarios chilenos","C Hidalgo-Rasmussen, K Franco, FJ Díaz Reséndiz, MJ Rojas, F Vilugrón","Revista mexicana de trastornos alimentarios 6 (1), 30-37, 2015"
"Validación del cuestionario de elección de alimentos en jóvenes de Lima Metropolitana, Perú, 2017","G Santos-Antonio, C Valladares, A Castillo, JP Aparco, ...","Revista chilena de nutrición 48 (4), 507-517, 2021"
Cross-cultural adaptation and validation to Chilean youth people of Brief Resilience Scale (BRS),"CA Hidalgo-Rasmussen, YV Chávez-Flores, MJ Rojas, F Vilugrón","Anales de Psicología 37 (2), 243-252, 2021"
"Hábitos alimentarios, obesidad y calidad de vida relacionada con la salud en adolescentes chilenos","F Vilugrón Aravena, T Molina, ME Gras Pérez, S Font-Mayolas","Revista médica de Chile 148 (7), 921-929, 2020"
Food consumption and adherence to dietary recommendations for students entering university.,"F Vilugrón, N Fernández Elgueta, C Ramírez Espinoza, J Donoso Flores, ...","Nutrición Clínica y Dietética Hospitalaria 40 (2), 165-172, 2020"
"Food profile according to nutritional status of university students of Valparaíso, Chile","F Vilugrón, C Hidaldo, J Rojas, V Pasten","VALUE IN HEALTH 18 (7), A845-A845, 2015"
"Perfil Alimentario Según Estado Nutricional De Estudiantes Universitarios De Valparaiso, Chile","F Vilugrón, C Hidaldo, J Rojas, V Pasten","Value in Health 18 (7), A 845, 2015"
Consumo de alimentos ultraprocesados y su asociación con el exceso de peso y la obesidad abdominal en jóvenes que inician la educación superior,"FPV Aravena, NF Elgueta, CR Espinoza, CF Donoso","Revista española de nutrición comunitaria= Spanish journal of community …, 2022"
El uso del etiquetado nutricional y su asociación con la adhesión a la dieta mediterránea y el estado nutricional determinado mediante la percepción de la imagen corporal en …,"F Vilugrón, NF Elgueta, J Letelier, A Medina, M Torrejón","Revista española de nutrición humana y dietética 26 (1), 41-51, 2022"
"Percepción de formas de discriminación en contextos cotidianos de mujeres inmigrantes usuarias de Centros de Salud Familiar de Valparaíso, Chile","XCS Segura, DC Valdés, F Vilugrón","Gerencia y Políticas de Salud 20, 1-19, 2021"
Adaptación transcultural y validación de la Brief Resilience Scale (BRS) para jóvenes chilenos,"CA Hidalgo-Rasmussen, YV Chávez-Flores, JR María, F Vilugrón","Anales de Psicología/Annals of Psychology 37 (2), 243-252, 2021"
Association between eating habits and health related quality of life among school age adolescents,"FV Aravena, T Molina, MEG Pérez, S Font-Mayolas","Revista medica de Chile 148 (7), 921-929, 2020"
"Quality of life and marijuana-related behaviors among university students from Valparaiso, Chile","C Alejandro Hidalgo-Rasmussen, M Jacqueline Rojas, ...","QUALITY OF LIFE RESEARCH 27, S171-S171, 2018"
Desigualdad ambiental y desigualdad comunicacional: Las portadas de El Mercurio de Valparaíso sobre el derrame de petróleo en la bahía de Quintero,"J Carmona Jiménez, M Jaimes Manosalva","Cuadernos. info, 71-87, 2015"
Museos y jóvenes: entre la incomprensión y el desencanto. Percepciones y argumentos juveniles sobre el consumo cultural de museos en Chile,"CD Antoine-Faúndez, J Carmona-Jiménez","Arte, Individuo y Sociedad 27 (2), 227-242, 2015"
"Tensiones de la etnografía virtual: teoría, metodología y ética en el estudio de la comunicación mediada por computador",JC Jiménez,"F@ ro: revista teórica del Departamento de Ciencias de la Comunicación, 2, 2011"
Interfaces university-society in the transdisciplinary prospective: Social Communication and Institutional-web Discourse associated with the organization of knowledge in …,"P Contreras, J Jiménez, R Browne, I Oliva-Figueroa","Alpha (Osorno) 50, 2020"
Algunas notas sobre periodismo científico y saber arqueológico,JC Jiménez,"Re-Presentaciones: Periodismo, Comunicación y Sociedad, 37-64, 2006"
Entre Pablo Neruda y Rigoberta Menchú. Representaciones del Pasado Precolombino en Museos de Chile,"J Correa-Lau, J Carmona, G Carmona, V Castro, CM Santoro","Chungará (Arica) 51 (2), 191-200, 2019"
Periodismo y Antropología: Ficción y Lealtad,JC Jiménez,"Re-Presentaciones: Periodismo, Comunicación y Sociedad, 11-41, 2010"
El perfil del periodista científico: Una cuestión de Humanidades,JC Jiménez,"Re-Presentaciones: Periodismo, Comunicación y Sociedad, 151-166, 2007"
Interfaces universidad-sociedad en la prospectiva transdisciplinaria: Comunicación Social y Discurso Institucional-web asociado a la organización del conocimiento en …,"P Contreras, J Jiménez, R Browne, I Oliva-Figueroa","Alpha (Osorno), 215-230, 2020"
Notas para el análisis de la gestión cultural de los museos de Chile,"CA Faúndez, JC Jiménez","La gestión cultural desde Latinoamérica, 240, 2018"
Environmental inequality and communicational inequality: The covers of El Mercurio de Valparaiso on the oil spill in Quintero Bay,"J Carmona Jimenez, M Jaimes Manosalva","CUADERNOS INFO, 71-87, 2015"
Sistemas de incentivos para directivos hospitalarios públicos.: Un modelo experimental en el servicio andaluz de salud,"JJM Martín, A Garijo, G Carmona, L Carretero, MP López, J Carmona","El Sistema Nacional de Salud de los 90: estrategia de salud, planificación y …, 1992"
"Emblemática e iconografía virreinal. Las apuestas de Diego León Pinelo y Francisco De Ávila (Lima, siglo XVII)",JC Jiménez,"Razón Crítica, 93-120, 2021"
Esculturas africanas de Chile: lecturas de un patrimonio nacional en el escenario de la diferencia cultural,JAC Jiménez,"Comparative Cultural Studies-European and Latin American Perspectives 3 (6 …, 2018"
Identidad urbana y museo. La refundación del Museo de Historia Natural de Valparaíso después  del terremoto de 1906.,"J Carmona Jiménez, C Muñoz, V Ávalos","REVISTA ANALES DEL MUSEO DE HISTORIA NATURAL DE VALPARAÍSO 31, 159-178, 2018"
"Francisco de Ávila en la sociedad virreinal: entre la (auto) biografía, el monumento y la memoria",J Carmona Jiménez,"Universidad de Chile, 2018"
"La cartografía bibliográfica y la memoria emblemática Playa Ancha, Valparaíso","M Mardones Leiva, J Carmona Jiménez","Biblios, 72-78, 2016"
"Bibliographical cartography and the emblematic memory Playa Ancha, Valparaiso","M Mardones Leiva, J Carmona Jimenez","BIBLIOS-REVISTA DE BIBLIOTECOLOGIA Y CIENCIAS DE LA INFORMACION, 70-76, 2016"
"Mapping the literature and memory flagship Playa Ancha, Valparaíso","MAM Leiva, JC JIMéNEZ","Biblios: Journal of Librarianship and Information Science; Núm. 65 (2016 …, 2016"
Museums and youth: between misunderstanding and disappointment. Youth perceptions and arguments about the cultural consumption of museums in Chile,"C David Antoine-Faundez, J Carmona-Jimenez","ARTE INDIVIDUO Y SOCIEDAD 27 (2), 259-274, 2015"
Chromium hyper-tolerant Bacillus sp. MH778713 assists phytoremediation of heavy metals by mesquite trees (Prosopis laevigata),"V Ramírez, A Baez, P López, R Bustillos, MÁ Villalobos, R Carreño, ...","Frontiers in microbiology 10, 1833, 2019"
Rendimiento del estudio microbiológico en el diagnóstico de la infección osteoarticular,"P GARCIA, L IRRIBARRA, V RAMIREZ, V CERVILLA, R DE LA BARRA, ...","Revista chilena de infectología 17 (2), 101-108, 2000"
Bacillus cereus MH778713 elicits tomato plant protection against Fusarium oxysporum,"V Ramírez, J Martínez, M del Rocio Bustillos‐Cristales, ...","Journal of Applied Microbiology, 2021"
"Long-Chain Hydrocarbons (C21, C24, and C31) Released by Bacillus sp. MH778713 Break Dormancy of Mesquite Seeds Subjected to Chromium Stress","V Ramírez, JA Munive, L Cortes, J Muñoz-Rojas, R Portillo, A Baez","Frontiers in Microbiology 11, 741, 2020"
Spontaneous pneumomediastinum. Review of eight cases,"ZC Álvarez, TA Jadue, RF Rojas, CC Cerda, VM Ramírez, SC Cornejo","Revista medica de Chile 137 (8), 1045-1050, 2009"
"Pb-Contaminated Soil from Quintero-Ventanas, Chile: Remediation Using Sarcocornia neei","V Meza-Ramírez, X Espinoza-Ortiz, P Ramírez-Verdugo, ...","The Scientific World Journal 2021, 2021"
intervieWing latina girls for child health research,"K Azevedo, M Fernández, S Mendoza, E Tirumalai, K Haydel, M Fujimoto, ...","Practicing Anthropology 32 (4), 14-18, 2010"
Capacity to predict a recurrence of lupus erythematosus using double-stranded anti-DNA antibodies and Farr technique,"L Massardo, ME Martínez, R Pérez, V Ramírez, A Foradori, A González, ...","Revista medica de Chile 127 (4), 411-420, 1999"
"ANÁLISIS FERTILIDAD DE SUELOS EN LA RESERVA NACIONAL EL YALI, SANTO DOMINGO, CHILE CENTRAL (33 45'S).",VM Ramírez,"Centro de Estudios Avanzados (CEA) y Facultad de Ingeniería, Universidad de …, 2015"
Predictive capacity of double stranded anti DNA antibodies for relapses in patients with inactive systemic lupus erythematosus,"L Massardo, ME Martinez, R Perez, V Ramirez, A Foradori, ...","REVISTA MEDICA DE CHILE 127 (4), 411-420, 1999"
Interferon therapy in acute lymphatic leukemia and hepatitis B in childhood,"B Vergara, JJ Gonzalez, G Courel, M Limonta, V Ramirez","Folia Haematologica (Leipzig, Germany: 1928) 114 (6), 777-788, 1987"
EFECTO DE LA CONSERVACIÓN DE LA MUESTRA EN LA DETERMINACIÓN IGF-I SÉRICO EVALUADA POR DOS METODOLOGÍAS DIFERENTES,"P Glikman, C Insua, M Junco, ML Viale, A Furioso, C Arias Cau, ...",
"CC. 8. O. Restauración Ecológica del sitio Ramsar N 878 (Reserva Nacional El Yali, litoral Chile central) afectado por el tsunami local de 2010: efectos del cambio climático y …","VM Ramírez, PDK Sánchez, MC López, CR Castro, CJ Pérez, ...",
"PROPUESTA RESTAURACIÓN ECOLÓGICA COMO MECANISMO DE ADAPTACIÓN AL CAMBIO CLIMÁTICO EN LA RESERVA NACIONAL HUMEDAL"" EL YALI"", CHILE","VM Ramírez, MC López, CR Castro, ND Gutiérrez, EQ Jamett, CJ Pérez, ...",
IMPACTO ECOLÓGICO Y ECONÓMICO DE ESPECIES NATIVAS DE PROSOPIS EN MÉXICO,"V Ramírez, R Carreño, LE Fuentes, R Bustillos, J Muñoz-Rojas, E Acosta, ...",
Perfil de egreso doctoral: una propuesta desde el análisis documental y las expectativas de los doctorandos,"K Núñez-Valdés, JA González Campos","IE Revista de Investigación Educativa de la REDIECH 10 (18), 161-175, 2019"
"Impacto de las habilidades de comprensión lectora en el aprendizaje escolar: Un estudio realizado en una comuna de la región metropolitana, Chile","K Núñez-Valdés, JC Medina-Pérez, J González-Campos","Revista Electrónica Educare 23 (2), 28-49, 2019"
Evaluación de los aprendizajes sobre ciudadanía: meta evaluación de los instrumentos utilizados en el segundo ciclo básico chileno,K Núñez Valdés,"Estudios pedagógicos (Valdivia) 43 (2), 253-276, 2017"
Expectativas de los Doctorandos Chilenos: Insumos para la Elaboración de un Perfil de Egreso Doctoral,"KP Núñez-Valdés, JA González, SJ Sarzoza","Formación universitaria 12 (5), 3-14, 2019"
Hacia la estandarización de los perfiles de egreso de los programas de doctorado,"K Núñez-Valdés, J González Campos","Revista Digital de Investigación en Docencia Universitaria 13 (2), 3-18, 2019"
Retroalimentación: Una tarea pendiente del sistema de evaluación de resultados de aprendizaje (SIMCE) en Chile,KPN Valdés,"REFCalE: Revista Electrónica Formación y Calidad Educativa. ISSN 1390-9010 2 …, 2014"
"Impact of reading comprehension skills on school learning: A study made in a commune of the Metropolitan region, Chile","K Núñez-Valdés, JC Medina-Pérez, J González-Campos","Revista Electrónica Educare 23 (2), 28-49, 2019"
A Systemic Perspective for Understanding Digital Transformation in Higher Education: Overview and Subregional Context in Latin America as Evidence,"LM Cerdá Suárez, K Núñez-Valdés, S Quirós y Alpera","Sustainability 13 (23), 12956, 2021"
An Institutional Perspective for Evaluating Digital Transformation in Higher Education: Insights from the Chilean Case,"K Núñez Valdés, S Quiros y Alpera, LM Cerdá Suárez",
Programs of Access to Pedagogy: Diagnostic of Its Design in Chilean Private Universities,"K Núñez-Valdés, N Villena Olivares, C Villegas Dianta, M López Núñez, ...","European Journal of Investigation in Health, Psychology and Education 12 (4 …, 2022"
PERCEPCIONES DOCENTES SOBRE LA FORMACIÓN CIUDADANA EN CHILE. EL CASO DE UN GRUPO DE PROFESORES,KPN Valdés,"REFCalE: Revista Electrónica Formación y Calidad Educativa. ISSN 1390-9010 9 …, 2021"
Doctoral graduate profile: A proposal from documentary analysis and doctoral students’ expectations,"K Núñez-Valdés, JA González Campos","IE Revista de investigación educativa de la REDIECH 10 (18), 161-175, 2019"
Expectativas de los doctorandos de Educación y Ciencias Sociales sobre su formación de Postgrado: Orientaciones para la política educativa.,K Núñez-Valdés,"[2019] Congreso Internacional de Educación y Aprendizaje, 2018"
Towards the Standardization of Graduation Profiles in Doctoral Programs,"K Núñez-Valdés, J González Campos",
"5.09. LOS DESAFÍOS DE LA INNOVACIÓN CURRICULAR: HACIA EL DISEÑO DE UN SISTEMA DE EVALUACIÓN PARA LAS PRÁCTICAS PROFESIONALES DE LA ESCUELA DE COMERCIO, PUCV.","K NÚÑEZ VALDÉS, J HERMOSILLA CORTÉS",
Transformaciones en el mercado del trabajo y expresión territorial de las desigualdades sociales: el caso del área metropolitana de Valparaíso,"NC Athens, FV Ormeño","Revista Líder 12 (17), 119-136, 2010"
Heterogeneidades económicas en territorios de la Región de Valparaíso-Chile: aproximaciones y emergencias de otras formas económicas,"P Saravia Ramos, N Carroza Athens, B Cid Aguayo","Población y sociedad 25 (1), 103-131, 2018"
"Territoriality, environment and hybrid governance tensions in alternative food networks: Cases of small‐scale viticulture in Chile","E Letelier, BC Aguayo, P Saravia, N Carroza, J Vanhulst","Environmental Policy and Governance, 1-13, 2020"
Mapping social economy discourses in Chile,"B Cid, EAL Araya, P Saravia, J Vanhulst, N Carroza, D Sandoval","International Journal of Social Economics, 2019"
"Discursos de diversidad económica en el centro-sur de Chile: Definiciones en disputa en torno a la economía social, solidaria y autogestionaria","BC Aguayo, PS Ramos, EL Araya, DS Nazal, J Vanhulst, NC Athens","Miríada: Investigación en Ciencias Sociales 11 (15), 185-207, 2019"
Mercados de trabajo y reconfiguración metropolitana: nuevas desigualdades socio-territoriales. El caso del área metropolitana de Valparaíso,"N Carroza, F Valenzuela","Bailey, G., Carroza, N., Espinoza, F. y Tiemann, R., eds., 2011. Valparaíso …, 2011"
Diversidades económicas en la región de Valparaíso-Chile: Hacia la comprensión de “otras” formas posibles de desarrollo territorial,"N Carroza, P Saravia, B Cid, D Vega, G Astroza","Revista Brasileira de Gestão e Desenvolvimento Regional 15 (15), 109-127, 2019"
"La producción social del hábitat en Valparaíso: Discursos críticos, contextos y motivaciones de las experiencias","N Carroza, P Saravia, S Escobar","Neoliberal (urban) ismo: Transformaciones socioterritoriales y luchas …, 2019"
"Propuestas de política pública y modelos de Vinculación con el Medio en Chile: construcción de iniciativas dialogantes, participativas y territorializadas.","B Gonzalez, P Saravia, N Carroza, G Felip, CCL Dinamarca","Los caminos de la extensión en América Latina y el Caribe, 2017"
Valparaíso en tránsito: Perspectivas desde una nueva sociología de la ciudad,"G Bailey, N Carroza, R Espinoza, Felipe y Tiemann","Editorial Punta Ángeles, Valparaíso., 2011"
Propuestas de política pública para apoyar el desarrollo de cooperativas de vivienda autogestionarias en Chile,"J Ruiz-Tagle, F Valenzuela, D Czischke, V Cortés-Urra, ...","Propuestas para Chile 2020, 2021"
¿Alternativa(s) a la producción habitacional neoliberal en Chile?: Potencialidades y desafíos de la producción social del hábitat en el Gran Valparaíso,N Carroza-Athens,"ACME: An International Journal for Critical Geographies 19 (3), 629- 646, 2020"
Vinculación con el medio y territorio,"B González López, P Saravia Ramos, N Carroza Athens, ...","Universidad de Playa Ancha, 2017"
Lima_Santiago: reestructuración y cambio metropolitano,N Carroza,"EURE (Santiago) 38 (114), 291-301, 2012"
"Popular Self-Management as Contribution for Spatial Justice: Educational Practices and Logic in the Movimiento de Pobladores en Lucha (MPL), Chile","I Muñoz Cristi, N Carroza-Athens","Planning Practice & Research, 1-16, 2022"
"Reseña del libro “Habitar digno y Nueva Constitución”, editado por Valentina Saavedra, Fernando Toro y Carlos Lange (LOM, 2021)",NC Athens,"Quid 16: Revista del Área de Estudios Urbanos, 225-232, 2022"
"Fregolent, Laura y Nel· lo, Oriol (eds.)(2021). Social Movements and Public Policies in Southern",N Carroza Athens,"Documents d'anàlisi geogràfica 68 (2), 0426-428, 2022"
"Looking at you from Playa Ancha, beautiful port! Hige-rise building, land rent and urban extractivism in Valparaiso (1991-2017)","C Vergara-Constela, N Carroza Athens","REVISTA DE GEOGRAFIA NORTE GRANDE, 313-336, 2021"
"¡ Al mirarte de Playa Ancha, lindo puerto! Edificación en altura, renta de suelo y extractivismo urbano en Valparaíso (1991-2017)","C Vergara-Constela, N Carroza Athens","Revista de Geografía Norte Grande, 313-335, 2021"
"Presentación del Número Especial sobre el IIº COLOQUIO INTERNACIONAL CONFLICTOS URBANOS de la Red Iberoamericana de Investigación en Políticas, Conflictos y Movimientos Urbanos","MC Zapata, CG Redondo, S Hernández, M Boy, F Vértiz, ...","Quid 16: Revista del Área de Estudios Urbanos, 1-8, 2021"
